	a	b	ʧ	i	o	ʃ	ʒ	x	s	k	z	u	v	l	t	θ	d	e	β	n	ɛ	w	ɔ	h	g	j	ɣ	ɲ	r	ð	ə	p	ɸ	ŋ	m	ɖ	ʤ	ʎ	æ	f	ɕ	-
z	0.979784	0.983196	0.987622	0.984604	0.989945	0.0653253	0.0288334	0.98432	0.0182321	0.990274	0	0.985421	0.971493	0.990161	0.995159	0.994018	0.990871	0.986693	0.982633	0.977762	0.984455	0.976024	0.984413	0.990133	0.988896	0.990914	0.988014	0.974691	0.989524	0.98833	0.973178	0.990101	0.990076	0.972186	0.95704	0.966998	0.978928	0.978695	0.965326	0.0340334	0.958248	0.0630526
u	0.0391012	0.982543	0.98697	0.0536683	0.0196898	0.989227	0.978958	0.983668	0.988223	0.989622	0.985421	0	0.970841	0.989509	0.994507	0.993365	0.990218	0.0503843	0.98198	0.977109	0.983802	0.0229105	0.040768	0.989481	0.988243	0.990262	0.987361	0.974039	0.988871	0.987677	0.0445267	0.989449	0.989424	0.971534	0.956388	0.966345	0.978275	0.978043	0.964674	0.0333809	0.957596	0.0367335
v	0.965203	0.0277716	0.973042	0.970024	0.975365	0.975298	0.96503	0.96974	0.974295	0.975694	0.971493	0.970841	0	0.97558	0.980579	0.979437	0.97629	0.972113	0.0335946	0.963181	0.969874	0.0161785	0.969833	0.0318961	0.974315	0.976334	0.973433	0.960111	0.974943	0.973749	0.958598	0.0331084	0.0361343	0.957606	0.94246	0.952417	0.964347	0.964115	0.950746	0.0194528	0.943668	0.0244606
l	0.983871	0.987283	0.99171	0.988692	0.994033	0.993966	0.983698	0.988408	0.992963	0.994362	0.990161	0.989509	0.97558	0	0.999247	0.998105	0.0713106	0.990781	0.98672	0.981849	0.988542	0.980112	0.988501	0.994221	0.0664139	0.0329819	0.992101	0.978779	0.0195698	0.992417	0.977266	0.994189	0.994164	0.976274	0.961128	0.0194248	0.983015	0.0239867	0.969414	0.0381208	0.962336	0.0417246
t	0.98887	0.992282	0.0730607	0.99369	0.999031	0.998965	0.988697	0.993406	0.997962	0.0343199	0.995159	0.994507	0.980579	0.999247	0	0.0246668	0.0310863	0.995779	0.991719	0.986848	0.993541	0.98511	0.993499	0.0462527	0.997982	1	0.9971	0.983777	0.998609	0.0504303	0.982264	0.999187	0.999162	0.981272	0.966126	0.976083	0.988014	0.987781	0.974412	0.0431192	0.967334	0.0351543
θ	0.987728	0.99114	0.995567	0.992548	0.997889	0.997823	0.987555	0.992265	0.99682	0.998218	0.994018	0.993365	0.979437	0.998105	0.0246668	0	0.0361302	0.994637	0.990577	0.985706	0.992399	0.983968	0.992357	0.0451083	0.99684	0.998858	0.995958	0.982635	0.997468	0.0495498	0.981123	0.998046	0.99802	0.98013	0.964984	0.974942	0.986872	0.986639	0.973271	0.0419775	0.966192	0.0601366
d	0.984581	0.987993	0.99242	0.989401	0.994742	0.994676	0.984408	0.989118	0.993673	0.995071	0.990871	0.990218	0.97629	0.0713106	0.0310863	0.0361302	0	0.99149	0.98743	0.982559	0.989252	0.980821	0.98921	0.0560555	0.0335205	0.995711	0.992811	0.979488	0.994321	0.0201867	0.977976	0.994898	0.994873	0.976983	0.961837	0.971795	0.0557258	0.033003	0.970124	0.0388305	0.963045	0.0426866
e	0.0270316	0.983815	0.988242	0.0241378	0.0326204	0.990499	0.98023	0.98494	0.989496	0.990894	0.986693	0.0503843	0.972113	0.990781	0.995779	0.994637	0.99149	0	0.983252	0.978381	0.0172105	0.976644	0.985033	0.990753	0.989515	0.991534	0.988633	0.975311	0.990143	0.988949	0.0212589	0.990721	0.990696	0.972806	0.95766	0.967617	0.979548	0.979315	0.0502988	0.034653	0.958868	0.0290209
β	0.976343	0.0125254	0.984182	0.981163	0.986504	0.986438	0.97617	0.98088	0.985435	0.986833	0.982633	0.98198	0.0335946	0.98672	0.991719	0.990577	0.98743	0.983252	0	0.974321	0.981014	0.972584	0.980973	0.986692	0.985455	0.987473	0.984573	0.97125	0.986083	0.984889	0.969738	0.0449577	0.0447772	0.968746	0.953599	0.963557	0.975487	0.975255	0.961886	0.0305926	0.954808	0.989627
n	0.971472	0.974884	0.97931	0.976292	0.981633	0.981567	0.971299	0.976008	0.980564	0.981962	0.977762	0.977109	0.963181	0.981849	0.986848	0.985706	0.982559	0.978381	0.974321	0	0.976143	0.967712	0.976101	0.981821	0.980584	0.982602	0.979702	0.00702545	0.981212	0.980018	0.964867	0.981789	0.981764	0.00703295	0.948728	0.958686	0.970616	0.970383	0.957015	0.0257215	0.949936	0.032264
ɛ	0.0165328	0.981577	0.986004	0.982985	0.988326	0.98826	0.977992	0.982701	0.987257	0.988655	0.984455	0.983802	0.969874	0.988542	0.993541	0.992399	0.989252	0.0172105	0.981014	0.976143	0	0.974405	0.982794	0.988514	0.987277	0.989295	0.986395	0.973072	0.987905	0.986711	0.0378306	0.988482	0.988457	0.970567	0.955421	0.965379	0.977309	0.977076	0.0361409	0.0324145	0.956629	0.991448
w	0.969735	0.973147	0.977573	0.974555	0.0396143	0.97983	0.969561	0.974271	0.978827	0.980225	0.976024	0.0229105	0.0161785	0.980112	0.98511	0.983968	0.980821	0.976644	0.972584	0.967712	0.974405	0	0.974364	0.980084	0.978846	0.980865	0.977965	0.964642	0.979474	0.97828	0.963129	0.980052	0.980027	0.962137	0.946991	0.956948	0.968879	0.968646	0.955277	0.0239841	0.948199	0.0237781
ɔ	0.978124	0.981536	0.985962	0.982944	0.0192351	0.988219	0.97795	0.98266	0.987216	0.988614	0.984413	0.040768	0.969833	0.988501	0.993499	0.992357	0.98921	0.985033	0.980973	0.976101	0.982794	0.974364	0	0.988473	0.987235	0.989254	0.986354	0.973031	0.987863	0.986669	0.971518	0.988441	0.988416	0.970526	0.95538	0.965337	0.977268	0.977035	0.963666	0.0323731	0.956588	0.991407
h	0.983844	0.987255	0.991682	0.988664	0.994005	0.993939	0.98367	0.0221806	0.992936	0.0212619	0.990133	0.989481	0.0318961	0.994221	0.0462527	0.0451083	0.0560555	0.990753	0.986692	0.981821	0.988514	0.980084	0.988473	0	0.0369543	0.994974	0.0500399	0.978751	0.993583	0.069851	0.977238	0.994161	0.994136	0.976246	0.9611	0.971057	0.982988	0.982755	0.969386	0.038093	0.962308	0.03599
g	0.982606	0.986018	0.990444	0.987426	0.992767	0.992701	0.0505902	0.0405445	0.991698	0.0370968	0.988896	0.988243	0.974315	0.0664139	0.997982	0.99684	0.0335205	0.989515	0.985455	0.980584	0.987277	0.978846	0.987235	0.0369543	0	0.0604161	0.0181839	0.977513	0.992346	0.991152	0.976001	0.992923	0.992898	0.975008	0.959862	0.96982	0.0324638	0.026476	0.968149	0.0368555	0.96107	0.0500202
j	0.984625	0.988036	0.992463	0.024275	0.994786	0.99472	0.984451	0.989161	0.993717	0.995115	0.990914	0.990262	0.976334	0.0329819	1	0.998858	0.995711	0.991534	0.987473	0.982602	0.989295	0.980865	0.989254	0.994974	0.0604161	0	0.992854	0.979532	0.0392888	0.99317	0.978019	0.994942	0.994917	0.977027	0.961881	0.971838	0.983768	0.0258244	0.970167	0.038874	0.963089	0.0236464
ɣ	0.981724	0.985136	0.989563	0.986544	0.991885	0.991819	0.981551	0.0530845	0.990816	0.0507541	0.988014	0.987361	0.973433	0.992101	0.9971	0.995958	0.992811	0.988633	0.984573	0.979702	0.986395	0.977965	0.986354	0.0500399	0.0181839	0.992854	0	0.976631	0.991464	0.99027	0.975119	0.992042	0.992016	0.974126	0.95898	0.968938	0.980868	0.980636	0.967267	0.0359736	0.960189	0.0595319
ɲ	0.968402	0.971813	0.97624	0.973222	0.978563	0.978497	0.968228	0.972938	0.977494	0.978892	0.974691	0.974039	0.960111	0.978779	0.983777	0.982635	0.979488	0.975311	0.97125	0.00702545	0.973072	0.964642	0.973031	0.978751	0.977513	0.979532	0.976631	0	0.978141	0.976947	0.961796	0.978719	0.978694	0.960804	0.945658	0.955615	0.967545	0.967313	0.953944	0.0226509	0.946866	0.981685
r	0.983234	0.986646	0.991072	0.988054	0.993395	0.993329	0.983061	0.98777	0.992326	0.993724	0.989524	0.988871	0.974943	0.0195698	0.998609	0.997468	0.994321	0.990143	0.986083	0.981212	0.987905	0.979474	0.987863	0.993583	0.992346	0.0392888	0.991464	0.978141	0	0.99178	0.976628	0.993551	0.993526	0.975636	0.96049	0.970448	0.982378	0.0391526	0.968777	0.0374834	0.961698	0.0482077
