	ɑ	l	s	a	t	z	ɾ	ə	b	ɛ	i	e	œ	y	ʔ	n	u	d	ʊ	r	o	x	g	æ	ɣ	ɔ	m	h	ɪ	k	ŋ	j	ʏ	ø	ɒ	ʋ	w	p	f	v	ʃ	-
j	0.98133	0.978539	0.0317288	0.984379	0.985455	0.97869	0.962321	0.987096	0.0268428	0.985571	0.0355438	0.979096	0.980076	0.980892	0.978802	0.0190864	0.98144	0.981077	0.959028	0.981886	0.983791	0.981295	0.97955	0.96708	0.972308	0.983294	0.973352	0.978295	0.982422	0.0153904	0.973032	0	0.978557	0.963858	0.95854	0.968901	0.96531	0.973722	0.973371	0.972773	0.972532	0.0313219
ʏ	0.0308099	0.980858	0.984418	0.0376497	0.987774	0.981008	0.96464	0.0396185	0.0291611	0.0319243	0.0225402	0.0416122	0.982394	0.0263123	0.98112	0.984757	0.983758	0.983395	0.961346	0.984204	0.0195461	0.983614	0.981868	0.969399	0.974626	0.0315914	0.97567	0.980613	0.0265871	0.980706	0.97535	0.978557	0	0.0278257	0.960858	0.971219	0.967628	0.976041	0.97569	0.975091	0.97485	0.994766
ø	0.0259755	0.966159	0.969719	0.971998	0.973074	0.966309	0.94994	0.974715	0.0144618	0.038336	0.0167006	0.0248674	0.967695	0.968511	0.966421	0.970058	0.969059	0.968696	0.946647	0.969505	0.97141	0.968915	0.967169	0.954699	0.959927	0.970913	0.960971	0.965914	0.970041	0.966006	0.960651	0.963858	0.0278257	0	0.946159	0.95652	0.952929	0.961341	0.96099	0.960392	0.960151	0.980067
ɒ	0.963631	0.96084	0.964401	0.96668	0.967756	0.960991	0.944622	0.969397	0.00914365	0.967872	0.966361	0.961397	0.0162544	0.963192	0.961103	0.96474	0.963741	0.963378	0.941328	0.964186	0.0194562	0.963596	0.961851	0.949381	0.954609	0.965595	0.955653	0.960596	0.964723	0.960688	0.955333	0.95854	0.960858	0.946159	0	0.0128512	0.0113052	0.956023	0.955672	0.955074	0.954833	0.974749
ʋ	0.973992	0.971201	0.0200391	0.977041	0.978117	0.971352	0.954983	0.979758	0.0195047	0.978233	0.976722	0.971758	0.0175762	0.973553	0.971464	0.975101	0.974102	0.973739	0.951689	0.974548	0.0207779	0.973957	0.972212	0.959742	0.96497	0.975956	0.966014	0.970957	0.975084	0.971049	0.965694	0.968901	0.971219	0.95652	0.0128512	0	0.0126269	0.966384	0.966033	0.965435	0.965194	0.98511
w	0.9704	0.96761	0.97117	0.973449	0.974526	0.96776	0.951392	0.976167	0.0159132	0.974641	0.97313	0.968166	0.0160302	0.969962	0.967872	0.971509	0.97051	0.970147	0.948098	0.970956	0.0192319	0.970366	0.96862	0.956151	0.961379	0.972364	0.962422	0.967365	0.971493	0.967458	0.962102	0.96531	0.967628	0.952929	0.0113052	0.0126269	0	0.962793	0.962442	0.961843	0.961603	0.981519
p	0.978813	0.976023	0.979583	0.981862	0.982938	0.976173	0.959804	0.98458	0.0243259	0.983054	0.981543	0.976579	0.977559	0.978375	0.0156617	0.016464	0.978923	0.97856	0.956511	0.979369	0.981274	0.978779	0.977033	0.964563	0.969791	0.980777	0.970835	0.975778	0.979905	0.97587	0.970515	0.973722	0.976041	0.961341	0.956023	0.966384	0.962793	0	0.970855	0.970256	0.970015	0.0429801
f	0.978462	0.975672	0.979232	0.981511	0.028134	0.975822	0.959453	0.984229	0.023975	0.982703	0.981192	0.976228	0.977208	0.978024	0.975934	0.979571	0.978572	0.978209	0.95616	0.979018	0.980923	0.978428	0.976682	0.964212	0.96944	0.980426	0.970484	0.975427	0.979555	0.97552	0.970164	0.973371	0.97569	0.96099	0.955672	0.966033	0.962442	0.970855	0	0.005	0.969664	0.98958
v	0.977864	0.975073	0.978633	0.980913	0.981989	0.975224	0.958855	0.98363	0.0233765	0.982105	0.980593	0.97563	0.976609	0.977425	0.975335	0.978973	0.977973	0.977611	0.955561	0.978419	0.980325	0.977829	0.976084	0.963614	0.968842	0.979828	0.969886	0.974829	0.978956	0.974921	0.969565	0.972773	0.975091	0.960392	0.955074	0.965435	0.961843	0.970256	0.005	0	0.969066	0.988982
ʃ	0.977623	0.974832	0.0164365	0.980672	0.981748	0.0147507	0.958614	0.983389	0.0231357	0.981864	0.980353	0.975389	0.976369	0.977184	0.975095	0.978732	0.977733	0.97737	0.955321	0.978179	0.980084	0.977588	0.975843	0.963373	0.968601	0.979587	0.969645	0.974588	0.978715	0.97468	0.969325	0.972532	0.97485	0.960151	0.954833	0.965194	0.961603	0.970015	0.969664	0.969066	0	0.988741
-	0.0461203	0.0311249	0.0333647	0.0328254	0.0286606	0.994899	0.97853	0.0247377	0.0430518	0.0294876	0.032531	0.0444181	0.0382318	0.0463556	0.0301846	0.0285675	0.0333782	0.0344965	0.975237	0.0257973	1	0.0324155	0.0322259	0.983289	0.988517	0.029888	0.0323941	0.0244079	0.998631	0.0283632	0.0273551	0.0313219	0.994766	0.980067	0.974749	0.98511	0.981519	0.0429801	0.98958	0.988982	0.988741	0
