recording	als_o	als	bij_o	bij	buiten_o	buiten	door_o	door	glas_o	glas	goed_o	goed	hem_o	hem	hij_o	hij	hoek_o	hoek	houden_o	houden	huizen_o	huizen	in_o	in	is_o	is	juist_o	juist	klein_o	klein	korte_o	korte	krijgen	krijgen	later_o	later	loopt_o	loopt	lopen_o	lopen	met_o	met	naar_o	naar	niet_o	niet	nu_o	nu	om_o	om	ook_o	ook	op_o	op	ruit_o	ruit	steen_o	steen	stil_o	stil	straat_o	straat	straten_o	straten	tijd_o	tijd	vraagt_o	vraagt	wil_o	wil	ziet_o	ziet
diareg_jv_Sint-Annaparochie	ɑt	at	bɛi	bɛi	bytn	byʔn	dʏːr	dœ	ɡl  ̴ɑs	glas	ɡuːt	guːt			i	i	huk	huk	hɑːuən	hɔuən	hyzn	hyzən	ɪn	ɪn	ɪs	ɪs	krɛk	krɛg	klɑin	klɑin	kɒrthʏtsi				laːtər	laːtər	loup	loːp			mɛt	mɛ	na	na	nit	nit			ɔm	om	ouk	oːk	ɔp	op	ryt	ryt	stein	steən	stɪl	stɪl	dik	dik			tiːt	tiːət	fraːxt	fraːxt	ʋɪl	ʋɪl	siːt	siət
diareg_jv_Slochteren	ɑs	as	bi	bi	butn	buʔn	dʏːr	dœ	xlas	xlas	xɑut	xɔud	hɒm	əm	hɛi	hɛi	hɑuk	hɔuk	hɒln	hɔln	huːzn	huːzən	ɪn	ɪn	ɪs	ɪs	jyst	jys	klɑin	klɑin	kœrtə	kœːtə	kriɡŋ	krigŋ	lʊːtər	lɔːtə	loup	lop	loupm	loːʔm	mɛt	mɛ	nə	nɔ	nɑit	nait	nɑu	nɔu	ɔm	om			ɔp	op	rut	rut	stɑin	stɔin	stɪl	stɪl	strʊːt	strɔːt	strʊːtn	strɔːʔn	tit	tit	frʊːxt	frɔːxt	ʋʏl	ʋɪl	sʏxt	sʏx
diareg_jv_Sneek	ɑs	ɑz	bai	bɛi	bytn	byʔn	dʏːr	dœ	ɡlaz	glas	ɡuːt	guːt	əm	əm	di	i	hukə	hukə	hɑudn	hɔudn	hyzn	hyzə			ɪs	ɪs	jyst	jyst			kɒrtə	kotə			l  ̴aːtər	laːtə	loup	loːp	lʌupm	loːʔm	mɛt	mɛ	na	na	nit	nit					ouk	oːk	ɔp	op	ryt	ryt	stiːn	stiən	stɪl	stɪl	straːt	straːt	straːtn	straːʔn	tiːt	tiːt	fraːxt	fraːxt	ʋy	ʋy	sit	siət
diareg_jv_Tilligte	as	as	bi	bi	butn	buʔn	dʏːr	dœ	xlas	xlas	xʊd	xoːd	əm	əm	he	ə	hoːk	huːk	ɒːn	hɔln	hys	hys	ɪn	ɪn	ɪs	ɪs	jyst	jys	klɛin	klɛin	kɒrtə	kodə	kriɡŋ	kriŋ	laːtər	laːtə	lœp	lœp	loːpm	lɔːʔm	mɛt	mɛ	nə	na	nɪ̃x	nɪx		nu					ɔp	op	rut	rut	stɪːn	stɪːn	rʏstəx		strʌːt	strɑːt	strʌːtn	strɑːʔn	tit	tit	frœx	frœx	ʋɪl	ʋɪl	sʏt	sʏt
diareg_jv_Veenwouden	ɑs	as	bi	bi	butn	buʔn	trʊ	tro	ɡlɛːs	glɛːs	ɡuːt	guət	əm	hɛm	i	i	hukə	hukə	hʌːdn	hɑːdn	huzn	huzn	ɪn	in	ɪs	ɪs	krɛkt	krɛkt	lits	lits	kuɑtskɒfkə		kræiən	krɛiə	lɛtər	lɛtər	rɪnt	rɪnt	rɪnn	rɪnː	mɛ	mɛ	nə	na	nɛt	nɛt	nɑ	nɔu	ɔm	om			ɔp	op	ryt	ryt	stɪː̃	stiən	stɪl	stɪl	dik	dik			tiːt	tiːt	freixət	freɣət	sʌl		ʃʏxt	ʃox
diareg_jv_Workum	ɒt	ɑɾ	bai	bɛi	bytn	byʔn	trʏ	trœ	ɡl  ̴ɛːs	glɛːs					ə	ə	hukə	hukə	hʌːdn	hɑːdn	hysn	hysn	in	in	ɪs	ɪs			lits	lits	kɒrtə	kortə	kræiə	krɛiən	lɛtər	lɛtər	rɪnt	rɪnʔ	rɪnn	rɪnː	mai	mai	na	na	nɛt	nɛt	nɑu	nɔu					ɪn	op	ryt	ryt			stɪl	stɪl	strɪtə	strɪtə	strʏtn	strʏʔn	tiːt	tiːt	freixət	freɣət	ʋɔl	ʋol	ʃœt	ʃʏt
diareg_jv_Zwinderen	ʋənɪːr		bai	bɛi	bytn	byʔn	dʏːr	dœ	xlɑs	xlɑs					hɛi	hɛi	hɯk	huk	hɒːln	hɔːdn	huːzn	huːsn	ɪn	ɪn	ɪs	ɪs	nɛt	nɛd	klɛin	klɛin	kʌrtə	kotə			laːtər	laːtər	lœp	lœp	loːpm	loːʔm			nɑ	na	nit	nit			ɔm	ʏm			ɔp	op	rutə	rutə	stɪː̃	stiːn	rʏstəx		strʌːt	strɑːt	strʌːtn	strɑːʔn	tit	tit	frʌx	frɑx	ʋʏl	ʋɪl	sœt	sʏt
diareg_om_Appelscha	as	as	bɛi	bɛi	bytn	byʔn	dʏːr	dœ	xlas	xlas	xut	xut	hɛm	əm	i	i	hukə	hukə	hɒln	hɔldn	hysn	hysn	ɪn	ɪn	ɪs	ɪs	krɛkt	krɛkt					kriɡŋ	krigŋ	læːtər	laːtə			loupm	loːʔm	mɛt	mɛʔ	nʌ	na	nit	nit	nɑu	nɔu					ɔp	op	ryt	ryt	stiːnə	stinə	stɪlə	stɪlə	strʌːtə	strɑːt		strɑːtə			frʌːxt	frɑːxt	ʋɛl	ʋɪl	sit	sit
diareg_om_Dokkum	ɑt	at					dʊr	dor	ɡlɑs	glas	ɡuːt	guːt			ər	ər	hukə	hukə	hɑudn	hɔudn					ɪs	ɪs	krɛk	krɛg	klɛin	klɛin	kɒrtə	kotə	kræiə	krɛiə	l  ̴atər	laːtr	loupt	loːp	lʌupən	loːʔm	mɛd	mɛ			nit	ni							ɔp	op			stɪən	stɪən	stɪl	stɪl	straːt	straːt	straːtn		tiːt	tiːt	fraːxt	vraxt	sɪl	sɪl	siːt	siət
diareg_om_Eelde	ɑz	ɑz	bi	bi	butn	buʔn			xlas	xlas	xɑut	xɔud	əm	əm	ə	ə	hɑuk	hɔuk	hʌll	hɑln	huzn	huzn	ɪn	ɪn	ɪs	ɪs	nɛt	nɪʔ	klain	klɛin	kœːrdə	kœːdə	kriɡŋ	krigŋ	lɔːtər	lɔːdr	lɒp	lop			mɛt	mɛ	nə	nɔ	nait	nait	nɑu	nɔu			ouk	oːk	ɔp	op	rut		stɑin	stain	stɪl	stɪl	strʊːt	strɔːt			tit	tit	frax	frax	ʋʏl	ʋɪl	sʏt	sʏt
diareg_om_Finsterwolde	az	as			butn	buʔn	dʏːr	dœ	xl  ̴as	xlɑs	xɑut	xɔud	hɒm	əm	ɛ	hɛi	hɑukə	hɔukə	hʊːdn	hɔːdn	huzn	huːzn	ɪn	ɪn	ɪs	ɪs	nɛt	nɛʔ	løcə	løʔjə			kriɡŋ	krigŋ	lʊːtər	lɔːtər	lɒp	lop	loupm	loːʔm	mɛt	mɪ	nʊ	nɔ	nɑit	nait	nɒ̃	no	ɔm	om	ouk	oːk	ɔp	op	rutə	rutə	stɑinə	stainə	stɪl	stɪl	strʊːtə	strɔːtə	strʊːtn	strɔːʔn			frɑxt	vraxt	ʋɪl	ʋɪl	sʏxt	sʏx
diareg_om_Grijpskerk	as	as	bɛi	bɛi	bytn	byʔn	dʏːr	dœ	xlas	xlas	xud	xud	hɪm	ɛm	hɛi	hɛi		huʔŋ	pakŋ		hysn	hyːsn	in	in	ɪs	ɪs	krɛk	krɛʔ	klɛin	kleːn	kɒrtə	kodə	kriɡŋ	krigŋ	lɔːtər	lɔːtr	loupt	loːp			mɛt	mɛ	nə	na	nit	nit	nau	nɔu					ɔp	op			stiː̃	stiːn	stɪl	stɪl	strʊːt	strɔːt	strʊːtn	strɔːʔn	tit	tit	frʊːxt	frɔːxt	ʋʏl	ʋɪl	sɪxt	sɪx
diareg_om_Groenlo	ɑs	ɑs	bi	bi	butn	buʔn	dʏːʀ	dœ	xlas	xlɑs	xud	xoːd	əm		i	i	hoːk	hoːk	hɒln	hɔln	hyzəʀ	hyːzə	ɪn	ɪn	ɪs	ɪs	nɛt	nɛʔ	klɛin	klɛin	kɒʀtn	koʔn	kʀɪːxən	krɪːxən	laːtəʀ	laːtə	lœp	lœp	loːpən	loːpən	mɛt	mɛ	nə	na	neit	neːt	nɒ	no	ɔm	ʏm	oːk	ok	ɔp	op	ʀutə	rutə	kɛi	kɛi	stɪlə	stɪlə	stʀʌːtə	strɑːtə	stʀʌːtn	strɑːʔn	tit	tit	fʀʏx	frœx	ʋʏl	ʋɪl	sœt	sʏt
diareg_om_Grolloo	ɑz	ɑz	bɛi	bɛi	butn	buʔn	dʏːr	dœ	xlas	xlɑs	xud	ɣud			ə	ə	huk	huk	hɒːln	hɔldn	husn	huːzn	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	kleːn	kœrdə	kœdə			lʌːtər	lɑːtr	lɒp	lop	loːpm	loːʔm	mɛt	mɛ	ɛ̃	hɛn	nit	nit	nɑu	nɔu	œm	ʏm	ɤuk	ok	ɔp	op	rut	rut	stiː̃	stiːn	stɪl	stɪl	strʌːt	strɑːt	strʌːtn	strɑːʔn	tit	tit	fraːx	vrax	wʏl	ʋɪl	zœt	zʏt
