	kippen	mijn	vriend	bloemen	spinnen	machines	werk	op	schip	kregen	beschimmeld	brood	timmerman	splinter	vinger	fabriek	vier	bier	twee	drie	hij	knuppel	ik	knie	gezien	ragebol	pet	paddestoel	kerel	brede	stenen	breder	breedste	standbeeld	duivel	gebleven	meester	zee	graag	keelpijn	steel	bezem	neen	geroepen	peer	rijp	geld	ver	brengen	vrouw	zwemmen	sterk	bed	optillen	metselaar	springen	boterham	vader	zes	jaar	school	laten	gaan	water	potten	zijn	veel	maart	nog	koud	kaars	geeft	licht	paard	tegen	zwaluwen	kaas	motor	dag	avond	jongetje	barst	brief	hart	spannen	nieuwe	kar	zoon	koning	ook	geweest	rozen	lange	woord	kindje	was	dochtertje	bos	ladder	mond	droog	dorst	weg	krom	liedje	goed	kelder	voor	moest	ossenbloed	drinken	broer	moe	karnemelk	dun	zuur	put	uur	Italië	bergen	vuur	spuwen	duwen	hebben	stuk	brug	veulen	komen	deur	naaien	gras	brouwer	bakken	je	eieren	krijgen	markt	waren	vijf	eikels	hooi	is	groen	boompje	wijn	huis	melk	spuit	koe	koster	kruiwagen	buigen	Duitsers	blauw	geslagen	saus	flauw	sneeuw	stad	doen	dopen	doopvont	soldaten	dorsen	binden	gebonden
Haaksbergen		min	kɑmərɔt				ʋɑrək	ʊp	skɪp	kreŋ		brot			vɪŋər		fer	biə	tʋe	dre	he	klʏpəl	k	kne	zen				keəl		stenə	breədər			dyvəl	əbleəm	mestər	ze	ɣernə		stɛln	bɛsəm		ropm	per	ripə	ɣelt	feə	skʊpm		sʋɛm		bɛrə			sprɪŋ		fa	zɛs	jɔr	skol	lɔtn	xɔn		pœtə	bʏnt	fœlə	mert	nɔx	kɔlt	kersə			pert			kezə			ɔmnt		bɔs	bref	hɑtə	spɑnə	nijə	korə	zœn	kœnɪŋ	ɔk	əʋɛs		lɑŋə		kent	ʋɑs	dɔxtətjə	bʊs	lɛdər	mont		dœs	ʋɛɣ	krʊm	fɛsjə	xot	kɛldər	føə	mʊs		dreŋkŋ	brør	mø		dʏn	zuə	pʏtə	yr			føə		drʏkŋ	hɛpt	stʏk	brʏɣə	fʏl	kɔm	dyrə		ɣrœs		bɑkŋ	i	ɛiər	kriɣŋ		ʋɑdn	fif		høj	ɪs	xrøn	bømpkə	ʋin	hus	mɛlək	spœyt	ko	kœstər		bøɣt		blɔuw	əslaɣŋ	sɔusə	flɔuw	sneə		don	døpm			dœskən	ben	
Zelhem		min	kɑmərɔt				ʋɑrək	ʊp	sxɪp	kreŋ		brot			vɪŋər		viə	biə	tʋe	drij	he	knʏpəl	ɪk	kni	əzin				keəl		stenə	bredər			lysifɛr	əblevən	mɛistər	ze	xrax		stɛlə	bɛsəm		ərupən	perə	ripə	ɣɛlt	ʋit	brɛŋən		zʋɛm		bɛr			sprɪŋkt		vadər	zɛs	joə	sxolə	lɔtn	ɣɔn		pœtə	bʏnt	fœlə	meət	nɔx	kɔlt	keəsə	ɣɪv	lɪx	peət			kezə		dɑɣə	ɔvənt		bɑz	brif	hɑtə	spɑnə	nijə	kɑrə	zon	konɪŋ	ʊk	əʋɛs		lɑŋə	ʋoət	kɪntjə	ʋɑs	dɔxtətjən	bʊs	lerə	mʊnt	drøɣə	dɔs	ʋɛx	krʊm	vɛsjən	xut	kɛldər	fø	mʊs		drɪŋkən	bryə	my		dʏnə	zuə	pʏtə	yə			fyə		drʏkən	hɛpt	stʏk	brʏɣə	fʏlən	kʊmən	dørə		ɣrɛsə		bɑkən	i	ɛiər	kriɣən		ʋɑzən	vif		høj	ɪs	ɣryn	bømkən	ʋin	hys	mɛlək	spœyt	ku	kɔstər		byɣ		blɔuwə	əslaɣən	sɔusə	flɔuwlɑk	sne		dun	døpən			dœsn	bɪndn	
Groenlo		min	kɑmərɔt				ʋɑrək	ʊp	skɪp	kreŋ		brot			vɪŋər		veə	biə	tʋe	dre	he	knʏpəl	ɪk	kne	əzenə				keəl		sten	brejər			lysifɛr	əblevn	mestər	ze	xeənə		stɛlə	bɛsəm		əropm	perə	ripə	ɣɛlt	ʋit	skʏpm		zʋɛm		bɛr			sprɪŋ		va	zɛs	joə	sxol	lɔtn	ɣɔ		pɔtn	bʏnt	fœlə	meət	nɔx	kɔlt	keəsə	ɣɛv	lɛx	peət	teŋ		kezə		dɑɣ	ɔvənt		bɑstə	bref	hɑtə	spɑnə	nijə	korə	zœnə	konɪŋ	ʊk	əʋɛs		lɑŋə	ʋoət	kɪnt	ʋɑs	dɔxtətjən	bʊsə	lerə	mʊnt	drøɣə	dɔst	ʋɛɣ	krʊm	letjən	xot	kɛldər	føə	mʊs		drɪŋkŋ	brøə	mø		dʏnə	zuə	pʏtə	yə			vyə		drʏkən	hɛpt	stʏkə	brʏɣə	fʏl	kɔmən	dørə		ɣrœsə		bɑkən	i	ɛiər	kriɣən		ʋarn	vif		høj	ɪs	ɣrøn	bømkən	ʋin	hys	mɛlək	spœyt	ko	kœstər		bøɣ		blɔuwə	əslaɣən	sɔusə	flɔuw	sne		don	døpm			dɔsn	bɪn	
Blankenberge		mə	kɑmərɔət				wɛrk	ɪp	sxɪp	kreɣn		broət			viŋər		vir	bir	twɛ	dri	jə	knʏpl	k	kni	ɣəzin				kɛrəl		sten	brɪdərə			lysifɛrdyvəl	xəblevən	mestər	zejə	ɣærn		stɔk	bezəm		ɣəropm	pɛr	ripə	ɣælt	færə	briŋə		zwæmn		bɛd			sprɪŋn		vɔdər	zæs	jɔr	sxolə	lɔtn	ɣɔn		pɔtn	zin	fel	mɔrt	nɔx	kut	kɛəsə			pɛərt			kɔs		dɑx	ɔvnt		krɑʔ	brif	ærtə	spɑn	niwə	kɑrə	zønə	køniŋk	ok	xəwɪst		lɑŋə		kinətʃə	wɑz	dɔxtərtʃə	bʏs	lerə	munt	droɣə	dʏst	wæɣ	krɔm	litʃə	xut	kældər	fu	mɔstn		trɪŋkn	brurə	muə		dɪn	zør	pɪt	ørə			vir		dywən	æn	stɪʔbrɔʔ	brʏɣə	kɑxtl	kʊmn	dør		ɣɑs		bɑʔən	jə	ɛiərs	kriɣən		wɔərn	vyf		ɔj	ɪz	xrunə	bomtʃə	win	ys	mælk	spɛzd	kujə	kɔstər		byɣn		blɔw	ɣəsleɣn	sos		snɪəw		dun	doəpm			dɑsxən	bin	
Damme	kikns	mə	vrindmɔətkɑmərɔət	blɔm	spɪn	mɑsɪnə	wærk	ɛp	sʔɪp	kreɣɪn	bəsʔɪməld	bruət	tɪmərmɑn	splæntər	viŋərə	fɑbrikə	virvir	bir	twɪ	dri	jə	stɔk	k	kni	ɣəzin	kɔbəjɔɣrə	mʏtsə	pɑdəstul	kærəl	brɪə	stɪən	brɪədərəbrɪədər	brɪtstəbrɪstə	stɑmbelt	lysifær	ʔəblevn	mɪəstər	zɪə	ɣærnə	sɪərɪzəkelə	stært	bezm	nɪən	ɣəropm	pær	ripə	ɣælt	færə	briŋ	wyfvrɔuwə	zwæm	stærk	bæd	ɪpæf	mætsənɔrə	sprɪŋn	stytə	vɔdər	zæs	jɔr	sʔolə	lɔtn	ɣɔən	wɔtər	pɔtn	zin	felə	mɔərtə	nɔx	kut	kæsə	ɣɛfdɣɛft	lɛxtlʏxt	pært	teɣə	zwɑlms	kɔəs	mɔntʏr	dɑʔ	ɔvnt	fɛntʃəjʊŋətʃə	bɔst	brif	ært	spɑn	niwə	kɑrə	zønə	køniŋk	uək	ʔəwɪst	ruəzn	lɑŋə	wɔrt	kintʃə	wɑs	dɔxtərtʃə	bʏs	lɪərə	mɔnt	droɣə	dʏst	wæɣ	krɔm	litʃə	xu	kældərə	fɔ	mɔstn	ɔsəblut	triŋkn	brurə	mu	kɛəmælk	dɪnə	zør	pʏt	yrə	itɔljə	bærɣn	vir	spyɣən	dyw	æn	stɪkbrɔkə	brʏɣə	kɑxtləføln	kʊm	dør	nʊji	ɣɑs	brɔwər	bɑʔŋ	ɣə	ɛijərs	kriɣən	mɑrt	wɔərn	vyf	ɪəkls	oi	ɪz	xrunə	bomtʃə	win	ys	mælk	spɛit	kuə	kɔstər	kɔrtəwɔɣn	ploji	dytsʔərs	blow	əsleɣi	sɔusə		snɪəw	stɑt	dun	dopm	dɔpfuntə	sɑldɔətn	dɑsn	bɪndn	ɣəbʊn
Middelkerke		mə	mʊt				wærk	ʏp	ʃxɪp	krɪəɣn		brʊt			viŋər		vir	bir	twɛ	dri	jə	stɔk	k	kni	ɣəzin				vɪnt		stɛn	brɛdrə			dyvl	xəblevn	mɛstərmɪəstrə	zɛ	ɣærən		stært	bʏstlə		ɣəropm	pær	ripə	ɣæld	færə	briŋ		zwæm		bæd			spriŋ		vʊdər	zæz	jʊr	sxolə	lʊtn	ɣʊn		pɔtn	zin	felə	mʊrt	nɔx	kut	kæsə	ɣev	lʏxt	pært	teɣn		kʊs		dɑx	ɑvnt		krɑk	brif	ærtə	spɑn	niwə	kɑrə	zøn	køniŋk	ok	xəwɪst		lɑŋə		kintʃə	wɑz	dɔxtərtʃəmɛɪʃə	bʏs	lɛrə	mund	droɣə	dʏst	wæɣ	krɔm	litʃə	xut	kældər	fɔ	mɔstn		triŋkn	brurə	muə		dɪn	zør	pɪt	ørə			vir		dyw	æn	stɪk	brʏɣə	kɑxl	kɔm	dør		ɣɑs		bɑkn	jə	ɛiərs	kriɣn		wʊrn	vyf		ʊi	ɪz	xrunə	bomtʃə	win	yz	mæk	spyt	ku	kɔstər		plʊi		blʊw	ɣəsleɣn	sʊls	flʊw	snɪəw		dun	dopm			dɑʃxn	biŋ	
Oostende		mə	vrind				wærk	ɔp	sxɪp	kreɣən		brot			viŋər		fir	bir	twɛ	dri	jə	stɔk	k	kni	ɣəzin				kærəlkɑde		stɛn				dyvəllyʃəfær	xəblevən	mɛstər	zɛ	ɣærn		stærd	bezm		ɣəropən	pær	ripə	ɣæld	færə	briŋn		zwæmən		bæd			spriŋən		vɔdər	zæs	jɔr	sxolə	lɔtn	ɣʊn		pʊtn	zin	felə	mɔrt	nɔx	kud	kæsə	ɣef	lʏxt	pært	teɣə		kʊs			ɔvənt		krɑkbʊstbɑst	brif	ærtə	spɑnstekŋ	niwə	kɑrə	zønə	køniŋk	ok	xəwɪst		lɑŋə		kint	wɑz	dɔxtərtj	bʏs	lerə	mund	droɣə	dʏst	weɣə	krʊm	litʃə	xu	kældər	fo	mɔstn		triŋkən	brurə	mu		dɪn	zør	pɪt	ørə			vir		dywən	æn	stɪk	brʏɣə	føln	kɔməŋ	dørə		ɣɑs		bɑkən	jə	ɛijərs	kriɣən		wʊrn	vyf		oj	ɪz	xrunə	bomtʃə	win	yz	mælk	spyt	kujə	kɔstər		byɣən		blɔw	xəsleɣn	sɔus		snɛw		dun	dopən			dɑsxən	bindən	
Brugge		mə	vrind				wærk	ɛp	sxɪp	krɪɣn		brʊət			vɪŋərə		fir	bir	twɛ	dri	ɪ	stɔk	k	kni	ɣəzin				kærl		stɪənən	brɪdər			lysəfær	xəblevən	mestər	ze	ɣærə		stærtstɔk	bezəmə		ɣəropm	pær	ripə	ɣɑlt	færə	briŋən		zwæmn		bæd			spriŋən		vʊədər	zæz	jʊər	sxolə	lʊtən	ɣʊn		pɔtn	zin	fel	mʊrt	nɔx	kukt	kæsə	ɣed	lʏxt	pært	teɣə		kʊəs		dɑx	ɔvnt		krɑk	brif	ærtə	spɑnə	nivə	kɑrə	zønə	køniŋk	ok	xəwɛst		lɑŋə	wort	kinətji	wɑz	dɔxtərtjən	bʏs	lerə		droɣə	dʏst	wæɣ	krɔm	litjə	xut	kɑldər	fɔ	mɔstən		triŋkn	brurə	mu		dɪn	zør	pɪt	ørə			vir		dyɣən	æn	stɪk	brʏɣə	kɑxtəl	kɔməŋ	dørə		hɑs		bɑkən	jə	eərs	kriɣən		wɔrn	vyf		oj	ɪz	xrunə	bomtjə	win	yz	mɑlk	spæst	kujə	kɔstər		byɣən		blow	ɣəsleɣən	sosə		sneə		dun	dopən			dæsxən	bindən	
Gistel		mə	mʊd					ʏp	ʃxɪp	krɪəɣə		broət			viŋərə		fir	bir	twɛ	dri	jə	knɪplə	k	kni	ɣəzin				bɛŋ		stɪən	brɛdər			lysifær	xəblevn	mɪəstər	zɪə	ɣærən		stært	bezm		ɣəropm	pær	ripə	ɣæld	færə	briŋ		zwæm		bæd			spriŋ		vʊdər	zæz	jʊr	ʃxolə	lʊtn	ɣʊn		pɔtn	zin	felə	mʊrt	nɔx	kut	kæsə	ɣɛf		pært	teɣə		kʊs		dɑx	ʊvnt			brif	ærtə	spɑn	niwə	kɑrə	zønə	køniŋk	ok	xəwɪst		lɑŋə		kintʃə	wɑz	dɔxtərtʃə	bʏs	lɪərə	mund	droɣə	dʏst	wæɣ	ʃxɪəf	litʃə	xut	kældər	fɔ	mɔstn		triŋkn	brurə	muə		dɪn	zør	pɪt	ørə			vir		dyw	æ	stɪk	brʏɣə	kɑxl	kʊm	dørə		ɣɑs		bɑʔə	jə	ɛjərs	kriɣə		wʊrn	vyf		oi	ɪz	xrunə	bomtʃə	win	yz	mæk	spæzd	kuə	kɔstər		ploi			ɣəsleɣə	sʊws	flʊw	snɪəw		dun	dopm			dɑʃxn	bin	
Bekegem	æn	mə	vrind	blʊm	spɪn	mɑʃin	wærək	ɪp	sʔxɪp	krɪəɣə	bəsxɪməlt	broət	tɪmərmɑn	splændər	vɪŋərə	fɑbrikə	vir	bir	twɛ	dri	jə	stɔk	k	kni	ɣəzin	kʊbəjɑɣərə	klɑkə	pɑdəbroət	kærl	brɪə	stɪən	brɛdrə	brɛtstə	stɑmbelt	lysifær	xəblevn	mɪəstər	zɪə	ɣærən		stært	bʏstlə	nɛnɛnt	ɣəropm	pær	ripə	ɣæld	færə	briŋ	wyf	zwæm	stærk	bæd	ɪpæfn	mætsnʊr	spriŋ	stytə	vʊdər	zæz	jʊr	sxolə	lʊtn	ɣʊn	wʊtər	pɔtn	zin	felə	mʊrt	nɔx	kud	kæsə			pært	teɣə	zwʊlms	kʊs	mɔtœr		ʊvnt	juŋətʃə	bʊst	briv	ærtə	spɑn	niwə	kɑrə	zønə	køniŋk	ok	xəwɪst	roəzn	lɑŋə	woərt	kintʃə	wɑs	dɔxtərtʃə	bʏs	lɪərə	mund	droɣə	dʏst	wæɣ		litʃə	xut	kældər	fɔ	mʊst	ʊsəblut	triŋkn	brurə	muə	kærəmælk	dɪn	zør	pɪt	ørə	itʊli	bærɣn	vir	spyɣə	dyw	æ	brɔkə	brʏɣə	kɑxlvøln	kʊm	dør	nʊi	ɣɑs	brʊwər	bɑʔə	jə	ɛjərs	kriɣə	mɑrt	wʊrn	vyf	ɪəkls	oi	ɪz	xrunə	bomtʃə	win	yz	mælk	spɛit	kuə	kɔstər	kɔrtəwʊɣə	ploin	dytʃxərs	blʊw	ɣəsleɣə	sʊws		snɪə	ste	dun	dopm	vuntə		dæsxn	bin	ɣəbun
Oostkamp		mɪnə	mɔət				wærək	ɪp	sʔɪp	krɪəɣən		bruət			viŋər		vir	bir	twɪə	dri	jə	stɔk	k	kni	ɣəzin				din		stɪən	brɪədərə			lysifɛrdyvəl	ʔəblevn	mɪəstər	zɪə	ɣɛrnə		stɛrd	bezm		ɣəropm	pɛr	ripə	ɣæld	færə	briŋn		zwæmən		bæd			sprɪŋn		vɔdər	zæs	jɔr	sxolə	lɔətn	ɣɔən		pɔtn	zin	felə	mɔərt	nɔx	kut	kɛsə	ɣɛf		pɛrt	teɣə		kɔəs			ʊvnt		bʊst	brif	ærtə	spɑn	niwə	kɑrə	zønə	kønɪŋk	uək	xəwɛst		lɑŋə	wɔrt	kintʃə	wɑz	juŋstʃ	bʏs	lɪərə	mʊnt	druəɣə	dʏst	wæɣ	krɔm	litʃə	ʔu	kældər	fɔ	mɔst		triŋkn	brurə	mu		dɪnə	zør	pɛt	ørə			vir		dywən	æn	stɪk	brʏɣə	kɑxtlvøln	kʊməŋ	dørə		ɣɑs		bɑʔə	ɣə	ɛjərs	kriɣən		wɔərn	vyf		uɪj	ɪz	ʔrunə	buəmtjə	win	ys	mælk	spɛit	ku	kɔstər		byɣn		blow	ʔəsleɣn	sos	flow	snɪɛ		dun	dopm			dæstn	bin	
Veurne		mə	mɔd				wærk	ɔp	sxɪp	kʀɪəɣə		bʀoət			viŋəʀə		vir	biʀ	twɛ	dri	æ	knʏplə	k	knij	æzi				kæʀəl		stiən	bʀɛdɛʀə			lysifæʀ	əblev	mɪəstər	zɪə	ɣæʀn		stæʀd	bʏstlə		æʀopm	pæʀ	ʀipə	ɣæld	fæʀə	brɪŋ		zwæm		bæd			spʀiŋ		vɔdəʀ	zæz	jɔʀ	sxolə	lɔtn	ɣɔ		pɔtnə	zin	felə	mɔʀt	nɔx	kud	kæsə	ɣɛfd	lʏxt	pæʀd	teɣə		kɔs		dɑxə	ɔvnt		bʊst	bʀif	æʀtə	spɑn	niwə	kɑʀə	søn	køniŋ	uk	æwɪst		lɑŋə	woʀt	kɪntʃə	wɑz	dɔxtəʀtʃ	bʏz	lɪəʀə	mund	dʀuəɣə	dʏst	wæɣ	kʀʊm	litʃə	xu	kældəʀ	fɔ	mɔstn		tʀɪŋkn	bʀuʀə	muə		dɪn	zøʀ	pɪt	øʀə			viʀ		dyw	æ	bʀɔkə	bʀʏɣ	kɑxl	kʊm	døʀ		ɣɑz		bɑkŋ	i	ɛjəʀs	kʀiɣn		wʊʀn	vyf		ʊj	ɪz	xʀunə	bʊmtʃə	wi	yz	mæk	spʀɪŋd	kuə	kɔstəʀ		plojə		blɑw	əsleɣn	sɔus		snɪəw		dun	dopm			dɑʃtn	biŋ	
Oostkerke		mə	vrind				wærk	ʏp	sxɪp	krɪəɣə		broət			viŋərə		vir	bir	twɛ	dri	æ	stɔk	k	kni	ɣəzin				kærl		stɪən	brɛdrə			dyvl	xəblevn	mɪəstər	zɪə	ɣærən		stært	bezm		ɣəropm	pær	ripə	ɣæld	færə	briŋ		zwæm		bæd			spriŋ		vʊdər	zæz	jʊr	sxolə	lʊtn	ɣʊn		pɔtn	zin	felə	mʊrt	nɔx	kut	kæsə			pært	teɣn		kʊs		dɑx	ɑvnt		krɑk	brif	ærtə	spɑn	niwə	kɑrə	zønə	kønɪŋk	ok	xəwɪst	roəzn	lɑŋə	wort	kiniɣə	wɑz	mɛisxə	bʏs	lɪərə		droəɣə	dʏst	wæɣ	ʃxɪəf	liɣə	xut	kældr	fɔ	mɔst		triŋkn	brurə	muə		dɪn	zør	pɪt	ørə			vir		dyw	æn	stɪk	brʏɣə	kɑxl	kɔm	dør		ɣɑs		bɑʔn	ɣə	ɛiərs	kriɣn		wʊrn	vyf		oi	ɪs	xrunə	bomtʃə	win	yz	mælk	spœit	kuə	kɔstər		ploin		blɑw	ɣəsleɣn	sʊws		snɪəw		dun	dopm			dæsxn	biŋ	
Alveringem	kikənz	mə	mɔət	blʊm	spɛn	mɑʃin	wærk	ʊp	ʃxɪp	krɪəɣən	fɛniɣ	bruət	tʏmərmɑn	sprændl	viŋərə	fɑbrik	vir	bir	twɛ	dri	æ	knɪplɪ	k	kniə	əziə	kɔpərə	klɑkə	pɑdəstuln	vɛntə	brɪæ	stɪəs	brɛdərə	brɛtstə	stɑmbeld	lysɪfær	æblevn	mɪəstər	zɪə	ɣærnə	sɪərizəkelə	stærd	bʏstlə	nɪən	æropn	pær	ripə	ɣæld	færə	stekn	wyf	zwæmn	kluk	bæd	ɪpæfn	mɑtsnɔr	spriŋn	stytə	vɔdər	zæs	jɔər	sxolə	lɔətn	ɣɔə	wɔtər	pɔtn	zin	felə	mɔrt	nɔx	kud	kæs			pært	teɣn	zwʊlmn	kɔəs	mɔtʏr		ɔvn	mɑnəɣj	bɔst	brif	ærtə	spɑn			zønə	køniŋk	ɔk	æwɛst	ruɔzn	lɑŋə		kinəɣi	wɑz	mɛʃɪ	bʏz	lɪɛrə	mund	droɣə	dʏst	wæɣ	krɔm	liɣɪ	xut	kældər	fɔ	mɔst	ɔsəblut	triŋkn	brurə	muə	kærəmæk	dɪn	zør	pɪt	ørə	itɑli	bɛrɣn	vir	spyɣ	dyw	æ	brɔkə	brʏɣ	kɑxəl	kʊm	dør	nɔji	ɣɑz	brɔwər	bɑkŋ	i	ɛjərs	kriɣn	mɑrt	wɔrn	vyf	ɪɛkls	uɪj	ɪz	xrunə	bʊmtʃə	wi	yz	mæk	spʏt	kuə	kɔstər	pypəɣɔləkɔrtəwɔɣn		dytsxərs	blɑw	əsleɣn	sɔlssɔs	flɔw	snɪəw	stɑt	duə	dopm	dɔpfuntə	sɔldɔən	dɑʃxi	biŋ	æbuŋ
Wingene		mənə	vrint				ɔərəbɛitɔrəbɛit	ɪp	sxɪpsʔɪp	krɪəɣən		bruɪt			viŋərə		vir	bir	twɪ	dri	i	stɔk	k	kni	ɣəzin				vɛntkɛrlə		stɪən	briədərə			dyvəl	ʔəblevnʔəblev	mɪəstərə	ziə	ɣærn		stel	bezmə		ɣəropm	pɛr	ripə	ɣæld	færə	briŋn		zwæmn		bæd			spriŋn		vɔədrə	zæz	jɔər	sʔolə	lɔətn	ɣɔən		pɔtn	zin	felə	mɔrtə	nɔx	kud	kɛsə	ɣef		pɛərt	teɣə		kɔəs		dɑʔ	ɔvnt		bɔst	brif	ærtə	spɑn	niwə	kɑrə	zønə	køniŋk	uək	ʔəwɪst		lɑŋə	wɔrt	kintʃə	wɑz	mɛisk	bʏs	lɪərə	mʊnt	druəɣə	dʏst	wæɣ		litsə	xu	kældrə	fuə	must		trɪŋkn	brurə	mu		dʏn	zør	pʏt	ørə			vir		døjn	ɛ	stɪk	brʏɣə	føln	kʊmn	dørə		ɣæs		bɑkŋ	ɣə	ɛjərs	kriɣn		wɔərn	vyf		oi	æz	ʔrunə	buɛmkə	win	yz	mælk	spɛit	ku	kɔstər		byɣn		blow	ɣəsleɣn	sɔus		sniə		dun	duɛpm			dæstn	bɪndn	
Brielle		mə	vrint				wɛrəkwɛrək	ɔb	sxɪp	kreɣə		brout			vɪŋər		firvir	bir	tʋei	dri	hai	knʏpəl	ɪk	kni	ɣəzin				vɛnt		stenə	breijərə			dœyvəl	ɣəbleivə	meistər	zei	ɣrax		stel	bezəm		ɣəroupə	per	raip	ɣɛlt	fɛr	brɛŋə		zʋɛmə		bɛt			sprɪŋə		vadər	zɛs	jar	sxoul	latə	ɣan		pʊtə	zain	fel	mart	nɔx	kɔut	kars	xev	lɪxtlɪx	part			kas		dɑɣ	avənt			brif	hɑrt	spɑnə	niʋə	kɑr	zoun	konɪŋ	ouk	xəʋest		lɑŋə		kɪnt	ʋɑs	dʊxtər		lɑdər	mʊnt	drox	dɔrst	ʋɛx		litjə	xut	kɛldər	for	mɔs		drɪŋkə	brur	muj		dʏn	zyr	pʏtpɪt	yr			vyr		dɔuʋə	hɛbə	stʏk	brʏx	følə	kʊmə	døjr				bɑkə	jə	ajərə	kraiɣə		ʋarə	vaif		hoi	ɪs	xrun	boumpi	ʋain	hœz	mɛlək	spɑt	ku	kɔstər		zɑkə		blɑu	ɣəslaɣə	fɛt	flɔu	snew		dun	doupə			dɔrsə	bɪndə	
Middelharnis		mən	vrint				wærək	ɔp	sxɪp	kreɣə		bruʊt			viŋər		fir	bir	twiɛ	dri	hɪ	knʏpəl	ɪk	knijə	ɣəzi				kærəl		stɪən	brejərə			lysifær	ɣəblevə	mɪəstər	zɪə	ɣræxɣrax		stel	bezəm		ɣəropə	pɛər	rip	ɣælt	færə	briŋə		zwæm		bæt			sprɪŋəspriŋ		vɑdər	zɛs	jær	sxolə	lɛtə	ɣæn		pʊtn	bɛnə	vøl	mært	nɔx	kɔut	kærsə	ɣevd	lɪxt	pærd			kæzə		dɑx	ɛvnt		bʊʃtʃisxor	briv	hɑrtɪ	spɑnə	niwə	kɑrə	zønə	konəŋ	ɔk	xəwest			wort	kɪnt	wɑz	dɔxtərtji	bʊs	lɑdər	mʊnd	drɔəx	dɔst	wæx	krʊm	litjə	xu	kældər	fo	mus		driŋkə	brur	mu		dʏn	zyr	pɪt	yrə			vir		dɔwən	hɑ	stɪk	brʏɣə	kɑxəltj	kʊmə	dør		ɣrɑs		bɑkə	jə	ɛijərs	kriɣ		wɑzə	vyf		hoj	ɪz	xrun	bɔmtji	win	hyz	mælək	spœytspɪət	kujə	kɔstər		byɣə		blɑw	ɣəslʊɣə	ʃjɔpʃjøʃjøʃjy	flɑuw	snɪəw		duwə	dɑpə			dɔrsədɔsə	bɪndɪ	
Renesse	tjukən	mə	mɑt	blʊmən	spɪnə	məʃinəs	wærək	ɔp	sxɪp	kreɪɣə	bəsxɪməld	bruʊt	tʏmərmɑn	splɪntər	viŋər	fɑbrɪk	vir	bir	twɪə	dri	i	klɪpəl	k	kni	əzi	kʊpəspɪvæɣər	pætə	oʃjəzbrot	vɛnt	brɪə	stɪən	brɪər	brɪəstə	stɑmbelt	dyvəl	əblevə	mɪəstər	zɪə	ɣræx	pinɪzəŋkel	stel	bezəm	nɪə	əropə	per	rɪpə	ɣælt	fɑrə	stirə	vrɔwə	zwæmə	stærək	bæd	ɔplɪxtə	mæsəlær	sprɪŋəŋ		vɑdər	zɛs	jɛr	sxolə	lætə	ɣæ	wɛtər	pɔtn	bɛn	fe	mært	nʊx	kɔud	kæsə	ɣev	lɪxt	pært	teɣə	zwæməltʃɪs	kæs	motər	dɑxə	ævət	fɛntʃə	sxor	briv	ɑrtə	zætə	niwə	kɑrə	zønə	konəŋ	ɔk	əwest	rozn	lɑŋə	wuərt	kɪnd	wɑz	dɔxtərtjə	bʊz	lɑdər	mʊnt	drox	dʏst	wæxt	krʊm	væsjə	xu	kældər	fo	mɔst	ɔsəblut	drɪŋkə	brur	mu	kærnəmælək	dʏn	zyr	pɪt	yrə	itɑlijə	bærəɣən	fir	spi	dɑwən	æ	stɪk	brʏɣ	kɑxəl	kʊmə	dør	nɔjə	ɣʊz	brɔwər	bɑkə	jə	æərs	kriɣ	mɔrt	wærə	vyf	ɛikəls	oj	ɪz	xrun	bomptjə	win	ys	mælək	spœyt	kujɪ	kɔstər	krywæɣən	byɣə	dœtsərs	blɔw	əsloɣə	sɔusə	flɑuw	snɪəw	stɑt	du	dɔpə	dɔpbækən	sʊldɔtn	dɔsə	bɪndə	əbʊndə
