location	word	trs
dolna dikanja, radom	10	vˈeʒdɑ
dolna melna, tran	10	vˈed_ʒɑ
dolna riksa, mont	10	veʒdˈɑ
dolna srudena, bel	10	vʲˈeʒdə
dolni bogrov, sof	10	vˈeʒdɑ
dolno levski, pan	10	veʒdˈɤ
dorkovo, velgr	10	vˈɛɕkə
drabishna, ivgr	10	vʲˈɑɕkə
dragizhevo, vtarn	10	vʲˈeʒdə
dragodanovo, sliv	10	vʲˈeʒdə
dragoevo, presl	10	vʲˈɛʒdə
dragojchinci, kjust	10	vˈed_ʒɑ
elov dol, pk	10	vˈed_ʒɑ
enina, kaz	10	vʲˈeʒdə
ezerovo, parvom	10	vˈeʃkɤ
furen, vrach	10	veʒdˈɑ
gabare, bslat	10	vˈeʒdə
gabra, elpel	10	vˈeʒdɑ
galata, tetev	10	vʲˈɑʒdə
ganchovec, drjan	10	vʲˈeʒdə
garmen, gd	10	vʲˈeʃkə
garvan, sil	10	vʲˈeʒdə
gega, petr	10	vˈeʒdɑ
glozhene, orjah	10	vˈeʒdɑ
golema rakovica, elpel	10	vˈeʒdɑ
golemo malovo, sliven	10	vˈed_ʒɑ
golica, varn	10	veʒdˈa
goljama zheljazna, tetev	10	vʲˈɑʒdə
goljamo shivachevo, sliv	10	vʲˈeʒdə
gorna rosica, sevl	10	vʲˈeʒdə
gorni varpishta, drjan	10	vˈeʒdɤ
govedarci, sam	10	vˈeʒdɑ
gradec, vd	10	veʒdˈɑ
huhla, ivgr	10	vʲˈɑɕkə
hvojna, asgr	10	vʲˈeʑɡə
indzhe vojvoda, mtarn	10	vˈɛɕkə
ivanski, shum	10	vʲˈɛʒdə
izvorovo, harm	10	vʲˈɑʃkə
javorovo, asgr	10	vʲˈeʑɡə
kalipetrovo, sil	10	vʲˈeʒdə
kalojanovo, plov	10	vʲˈeʒdɤ
karaisen, pavl	10	vʲˈeʒdə
karanovo, ajt	10	vʲˈeʒdə
kaspichan, np	10	vʲˈɛʒdə
kolju marinovo, chirp	10	vʲˈeʒdə
konska, brezn	10	vˈed_ʒɑ
kopilovci, mont	10	ved_ʒˈɑ
koprivshtica, pird	10	*vʲˈɑʒdɑ
korten, nzag	10	vˈeʒdə
kostenec, iht	10	vˈeʒdɑ
kovachevci, sam	10	vˈeʒdɑ
kozichino, pom	10	veʒdˈa
kramolin, sevl	10	vʲˈeʒdə
kravenik, sevl	10	vˈeʒdɤ
kreta, vrach	10	veʒdˈɑ
krivnja, razgr	10	*vʲˈeʒdə
levunovo, sand	10	vˈeʒdɑ
liljache, vr	10	vˈeʒdɑ
